LISTENER_REGISTERED desktop_smoke_sms_1772199453301
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199452886}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"1c187114-d11e-4f0a-9c1d-34dc8505c759","deviceName":"家中的联想","groupId":"Dulin","timestamp":1772199457553}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199457886}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"1c187114-d11e-4f0a-9c1d-34dc8505c759","deviceName":"家中的联想","groupId":"Dulin","timestamp":1772199462565}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199462884}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"1c187114-d11e-4f0a-9c1d-34dc8505c759","deviceName":"家中的联想","groupId":"Dulin","timestamp":1772199467569}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199467885}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"1c187114-d11e-4f0a-9c1d-34dc8505c759","deviceName":"家中的联想","groupId":"Dulin","timestamp":1772199472571}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199472876}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"1c187114-d11e-4f0a-9c1d-34dc8505c759","deviceName":"家中的联想","groupId":"Dulin","timestamp":1772199477591}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199477875}
LISTENER_MESSAGE {"type":"test","messageId":"BP2A.250605.031.A3_V000L1_1772199479432","from":"iQOO","body":"这是一条测试消息","timestamp":1772199479432,"groupId":"Dulin"}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"1c187114-d11e-4f0a-9c1d-34dc8505c759","deviceName":"家中的联想","groupId":"Dulin","timestamp":1772199482604}
LISTENER_MESSAGE {"type":"device-presence","deviceId":"BP2A.250605.031.A3_V000L1","deviceName":"iQOO","groupId":"Dulin","timestamp":1772199482883}
LISTENER_MESSAGE {"type":"sms","messageId":"BP2A.250605.031.A3_V000L1_1772199482391","from":"10686307700000000112","body":"【阿里云】您正在进行短信登录，验证码149547，切勿将验证码泄露于他人，本条验证码有效期15分钟。","timestamp":1772199482391,"groupId":"Dulin"}
LISTENER_SUCCESS_SMS
